题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注,题目ID
高山流水千年调，______万古情。★崔时佩《西厢记·琴心写恨》,百依百从,白雪阳春,背城借一,兵连祸结,B,释义：原指战国时代楚国的一种较高级的歌曲。比喻高深的不通俗的文学艺术。。原始资料成语：白雪阳春。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-158
正是______多翻覆，沧海桑田几变更。★明·张景《飞丸记·梨园鼓吹》,百依百顺,背城一战,白衣苍狗,兵临城下,C,释义：苍灰白色。浮云象白衣裳，顷刻又变得象苍狗。比喻事物变化不定。。原始资料成语：白衣苍狗。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-159
小生不才杀者波，也是国家______。★元·吴昌龄《张天师》第二折,百战不殆,背道而驰,兵强马壮,白衣卿相,D,释义：古时指进士。唐代人极看重进士，宰相多由进士出身，故推重进士为白衣卿相，是说虽是白衣之士，但享有卿相的资望。。原始资料成语：白衣卿相。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-160
真是世事______，不禁感慨系之矣！★鲁迅《华盖集后记》,白云苍狗,百折不回,背井离乡,掤扒吊拷,A,释义：苍灰白色。浮云象白衣裳，顷刻又变得象苍狗。比喻事物变化不定。。原始资料成语：白云苍狗。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-161
她任凭酷刑______，紧咬着牙关，始终坚贞不屈。★《言行和心理》,百折不挠,百般折磨,背水一战,并驾齐驱,B,释义：用各种方式使人在肉体上、精神上遭受痛苦。。原始资料成语：百般折磨。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-162
今以十当一，是反以四钱八分铜作一钱二分用也。民间私閒改铸，______。★柯劭忞《清史稿·袁希祖传》,百折不屈,背信弃义,百弊丛生,并日而食,C,释义：百形容多；弊弊端，害处。各种弊害都产生出来了。。原始资料成语：百弊丛生。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-163
他把算子一动，便晓得这人姓名，穷通寿夭，______。★明·凌濛初《初刻拍案惊奇》卷七,败不旋踵,倍道兼行,病从口入,百不失一,D,释义：一百次中无一次失误。表示射箭或打枪命中率高，或做事有充分把握。。原始资料成语：百不失一。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-164
（关羽）带箭回寨，方知黄忠有百步穿杨之能。★明·罗贯中《三国演义》第五十三回，最恰当的成语是______。,百步穿杨,稗官野史,悖入悖出,病民蛊国,A,释义：在一百步远以外射中杨柳的叶子。形容箭法或枪法十分高明。。原始资料成语：百步穿杨。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-165
功名______，自古及今，有几个干休。★元·张养浩《折桂令》曲,班班可考,百尺竿头,被发文身,病入膏肓,B,释义：桅杆或杂技长竿的顶端。比喻极高的官位和功名，或学问、事业有很高的成就。。原始资料成语：百尺竿头。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-166
许多文士在饱经战乱之苦后，如______，相继奔往邺城，归附到曹氏（曹操）周围。★《建安文学》,班荆道故,被发缨冠,百川赴海,病在膏肓,C,释义：百表示多。川江河。所有江河都流归大海。比喻众望所归或大势所趋。也比喻许多事物由分散而汇集到一处。。原始资料成语：百川赴海。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-167
为什么一些作品有人______”，另一些却有人不想读第二遍呢？★朱自清《论百读不厌》,班荆道旧,被发左衽,拨乱反正,百读不厌,D,释义：厌厌烦，厌倦。读一百遍也不会感到厌烦。形容诗文或书籍写得非趁，不论读多少遍也不感到厌倦。。原始资料成语：百读不厌。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-168
回见子牙，叩头在地丞相妙计，______。”★明·许仲琳《封神演义》第三十六回,百发百中,班马文章,被褐怀玉,拨乱反治,A,释义：形容射箭或打枪准确，每次都命中目标。也比喻做事有充分把握。。原始资料成语：百发百中。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-169
其有能如水野越前、井伊直弼之鞠躬尽瘁______者乎？★梁启超《敬告当道者》,班门弄斧,百废具举,被褐怀珠,拨云睹日,B,释义：指许多被废置的事业都等着兴办。同百废俱举”。。原始资料成语：百废具举。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-170
‘______’的平均主义思想，以及与此相关联着的不合边区实际的‘正规化’思想，成了贯彻精简政策与集中力量于两大任务的绊脚石。★《解放日报》1942.12.23,班师回朝,被坚执锐,百废俱举,拨云见日,C,释义：指一切废置的事都兴办起来。同百废俱兴”。。原始资料成语：百废俱举。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-171
四川屡经兵燹，廷相莅任，______，民不知扰。★《清史稿·郎廷佐传》,班衣戏彩,奔轶绝尘,波谲云诡,百废俱兴,D,释义：俱全，都。许多已经荒废了的事情一下子都兴办起来。。原始资料成语：百废俱兴。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-172
我是上一个世纪出生的人，能参加这样的盛会，______，思绪万千。★郭沫若《科学的春天》,百感交集,斑驳陆离,奔走呼号,波澜老成,A,释义：感感想；交同时发生。各种感触交织在一起。形容感触很多，心情复杂。。原始资料成语：百感交集。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-173
美术展览会上展出了许多新作品，______，各具风格。,斑衣戏彩,百花齐放,本来面目,波澜壮阔,B,释义：形容百花盛开，丰富多彩。比喻各种不同形式和风格的艺术自由发展。也形容艺术界的繁荣景象。。原始资料成语：百花齐放。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-174
素臣一段议论，如老吏断狱，使刘邦______。★清·夏敬渠《野叟曝言》第七十一回,搬弄是非,本末倒置,百喙莫辩,剥床及肤,C,释义：喙嘴，借指人的嘴。指纵有众多的嘴也不能辩解。同百口莫辩”。。原始资料成语：百喙莫辩。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-175
刘棻等已被扳入，______，遂都连坐罔上不道的罪名，谳成死罪。★蔡东藩《后汉演义》第一回,板上钉钉,笨鸟先飞,剥肤椎髓,百喙难辞,D,释义：喙嘴，借指人的嘴。指纵有众多百口也很难解释。。原始资料成语：百喙难辞。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-176
自春秋末年以来，中国的思想得到一个极大的开放，呈现出一个______的局面。★郭沫若《吕不韦与秦王政的批判》,百家争鸣,版筑饭牛,绷扒吊拷,播穅眯目,A,释义：指各种学术流派的自由争论互相批评。也指不同意见的争论。百家，这种观点的人或各种学术派别。鸣，发表见解。。原始资料成语：百家争鸣。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-177
他身上的缺点虽然不少，但却不是______，不可救药。,半壁江山,百孔千疮,逼上梁山,伯仲之间,B,释义：比喻毛病很多，问题严重，已经到了难以收拾的地步。。原始资料成语：百孔千疮。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-178
玉林和忠和醒悟了，一打便是祸事，若是李三顺身上有了伤，便______，官司”非输不可。★高阳《清宫外史》上册,半部论语,鼻青眼肿,百口莫辩,勃然变色,C,释义：莫不能；辩辩白。即使有一百张嘴也辩白不清。形容不管怎样辩白也说不清楚。。原始资料成语：百口莫辩。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-179
不如屏净尘缘，竖起脊梁骨，著些精彩，究教七川八穴，______，向水边林下，长养圣胎，亦不枉受人天供养。★宋·释惟白《续传灯录》,半筹不纳,匕鬯不惊,博采众长,百了千当,D,释义：了了结；当妥当；百、千指一切事。比喻事事妥贴，有着落。。原始资料成语：百了千当。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-180
对报名参军的人挑选很严格，可以说是______。,百里挑一,半筹莫展,比比皆是,博古通今,A,释义：一百个当中就挑出这一个来。形容人才出众。。原始资料成语：百里挑一。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-181
有人身经百战，______，炉火纯青，喜于心而不形于色。★徐迟《火中凤凰·凤翔》,半间半界,百炼成刚,比户可封,博硕肥腯,B,释义：刚通钢。铁经过反复锤炼便成为坚韧的钢。比喻人经过多次磨炼而成为有用之才。。原始资料成语：百炼成刚。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-182
______，教育为本。,半截入土,比肩而立,百年大计,博文约礼,C,释义：大计长远的重要的计划。指关系到长远利益的计划或措施。。原始资料成语：百年大计。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-183
古人都知道______的道理，我们更应该把培养人才这件大事抓好。,半斤八两,比肩继踵,博闻多识,百年树人,D,释义：树种植，栽培。比喻培养人才是长期而艰巨的事。。原始资料成语：百年树人。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-184
那些玉斝中的长春露酒也都由站在身边侍候的宫女接过去倾入一只绘着______的大瓷缸中。★姚雪垠《李自成》第二卷第三十一章,百鸟朝凤,半路出家,比权量力,补苴罅漏,A,释义：朝朝见；凤凤凰，古代传说中的鸟王。旧时喻指君主圣明而天下依附，后也比喻德高望重者众望所归。。原始资料成语：百鸟朝凤。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-185
一见无期，______。★南朝·梁·刘令娴《祭夫徐敬业文》,半路修行,百身何赎,比屋而封,补牢顾犬,B,释义：百身自身死一百次；赎抵。拿一百个我，也无法把你换回来了。表示极沉痛地悼念。。原始资料成语：百身何赎。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-186
旷官之罪，职______矣。★明·袁宏道《去吴七牍·乞改稿一》,半身不遂,比屋可封,百身莫赎,补偏救弊,C,释义：百身自身死一百次；赎抵。拿一百个我，也无法把你换回来了。表示极沉痛地悼念。。原始资料成语：百身莫赎。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-187
卓为______；杰作雄辞，散落四夷之远。★宋·陆游《贺薛安抚兼制置启》,半生不熟,比翼连枝,补阙拾遗,百世之师,D,释义：世世代代的老师，指才德高尚而永远可为人师表的人。。原始资料成语：百世之师。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-188
大礼告成，伺候各官，循例三呼，国乐以外，杂以军乐，仿佛有凤凰来仪，______景象。★蔡东藩、许廑父《民国通俗演义》第三四回,百兽率舞,半死半生,比翼齐飞,补天浴日,A,释义：各种野兽，相率起舞。旧指帝王修德，时代清平。。原始资料成语：百兽率舞。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-189
明·康海《王兰卿》第三折便活到百岁千秋索一死，则不如另寻个身计。”，最恰当的成语是______。,半死不活,百岁千秋,比翼双飞,哺糟歠醨,B,释义：一百年，一千载。形容岁月漫长，历时很久。。原始资料成语：百岁千秋。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-190
则知太公封神，古有此说。今人于门户每书姜太公在此，______，亦非无所本矣。★鲁迅《小说旧闻钞·封神传衍义》,半途而废,彼此彼此,百无禁忌,捕风捉影,C,释义：百所有的，不论什么；禁忌忌讳。什么都不忌讳。。原始资料成语：百无禁忌。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-191
在______中，随手抓过一本书来，科学也好，文学也好，横竖什么都一样。★鲁迅《彷徨·伤逝》,半推半就,彼竭我盈,捕影系风,百无聊赖,D,释义：聊赖依赖。精神上无所寄托，感到什么都没意思。。原始资料成语：百无聊赖。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-192
每日价茶不茶，饭不饭，______。★元·王氏《粉蝶儿·寄情人》套曲,百无是处,半信半疑,笔伐口诛,不按君臣,A,释义：犹言一无是处。形容全都是错的，没有一点对的地方。。原始资料成语：百无是处。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-193
此人做事百无一是，如若重用应当三思而后行，最恰当的成语是______。,半夜三更,百无一是,笔墨官司,不卑不亢,B,释义：干一百件事，也没有做对一件。形容全都做错了，一无是处。。原始资料成语：百无一是。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-194
对孩子______是不行的。,半疑半信,笔扫千军,百依百从,不避斧钺,C,释义：百比喻很多；依顺从；从跟从。什么都依从。形容一味顺从。。原始资料成语：百依百从。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-195
这安公子是那女孩儿一般______的人。★清·文康《儿女英雄传》第三回,蚌鹬相持,币重言甘,不辨菽麦,百依百顺,D,释义：依、顺顺从。什么都依从。形容一切都顺从别人。。原始资料成语：百依百顺。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-196
自古名将料敌制胜，训练士兵，故可使赴汤蹈火，______。★《金史·刘炳传》,百战不殆,傍人门户,必不得已,不测之祸,A,释义：经历许多次战役，都没有遭到危险。形容善于用兵。。原始资料成语：百战不殆。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-197
耿耿自始，______。★清·姚莹《复杨君论诗文书》,傍若无人,百折不回,必也正名,不臣之心,B,释义：折挫折。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。。原始资料成语：百折不回。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-198
汉阳民军总司令黄兴，系湖南长沙县人，向来主张革命，屡仆屡起，______。★蔡东藩、许廑父《民国通俗演义》第三回,棒打鸳鸯,必由之路,百折不挠,不成体统,C,释义：折挫折；挠弯曲。比喻意志坚强，无论受到多少次挫折，毫不动摇退缩。。原始资料成语：百折不挠。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-199
要像总理那样……奋不顾身，______。★郭小川《痛悼敬爱的周总理》诗,包办代替,毕雨箕风,不逞之徒,百折不屈,D,释义：受到无数挫折都不屈服、动摇。形容意志坚强。。原始资料成语：百折不屈。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-200
